known_face_names,known_face_encodings
oddTech_1,"[-0.10224871  0.02762329  0.05287465 -0.04307685  0.03376617 -0.03116012
  0.00286121 -0.05507379  0.1912148  -0.04014506  0.19352017 -0.01252196
 -0.18012185 -0.12978812 -0.08489213  0.08434527 -0.13756938 -0.18968172
 -0.06135331 -0.13534068  0.00165027  0.03212712 -0.01224976  0.04947613
 -0.18620063 -0.33530548 -0.02798304 -0.17578849 -0.01205111 -0.09361003
  0.05630713  0.08346265 -0.18483129 -0.02947494  0.00506628  0.09524633
  0.09241167  0.06116473  0.16273017  0.03903542 -0.13725123  0.03823344
  0.04968635  0.38994274  0.14634418  0.05871697 -0.02731754  0.00958959
  0.10862453 -0.24809967  0.12771967  0.10783899  0.08749832 -0.01918129
  0.13805138 -0.11486537 -0.03939666  0.05544477 -0.19164844  0.11390828
  0.02707798  0.01468986 -0.03415805 -0.02944905  0.21480165  0.09744232
 -0.12583704 -0.0743839   0.13167034 -0.19469161 -0.00663224  0.02893552
 -0.05634993 -0.09742748 -0.28356391  0.09638015  0.44360924  0.11064162
 -0.21917751  0.05622973 -0.09451985 -0.00837673  0.1048203  -0.00727235
 -0.12169757  0.08569016 -0.12740225 -0.02274641  0.17273945  0.10697712
 -0.07009052  0.18631828 -0.04150134 -0.04612244  0.0836073   0.00471484
 -0.13962579 -0.03746165 -0.18371671 -0.06462589  0.01851125 -0.04827957
 -0.00323487  0.08359844 -0.16753313  0.10392974  0.00934434 -0.03851208
  0.00279158  0.17486747 -0.12792967 -0.11446399  0.14422424 -0.22994699
  0.12440385  0.10236149  0.06288864  0.14123803  0.07767428  0.04337196
 -0.03195238  0.04697553 -0.06388764 -0.08915205  0.00314155 -0.02120887
  0.09732721  0.04878669]"
oddTech_10,"[-1.58052921e-01  4.40920852e-02  5.64173646e-02 -5.22898976e-03
  2.51569226e-03 -5.83217666e-02 -6.52930290e-02 -5.13305180e-02
  1.80024043e-01 -8.43042061e-02  2.28708953e-01  1.73577461e-02
 -1.68538466e-01 -2.94620357e-02  1.90059748e-02  1.20283909e-01
 -1.65895820e-01 -5.61393090e-02 -7.47751668e-02 -9.00403187e-02
  1.86606578e-03 -9.22080409e-03  2.35172715e-02  6.48121163e-02
 -8.66074562e-02 -3.78755599e-01 -1.06141679e-01 -1.22595653e-01
  5.37422560e-02 -1.14930905e-01 -6.53249072e-03  6.25533145e-03
 -1.24168552e-01 -2.76365280e-02  3.76381874e-02  1.18704908e-01
  2.42749229e-03 -2.42654979e-02  2.20068201e-01 -3.06772045e-03
 -6.86609149e-02  1.60018317e-04  1.58020277e-02  2.95857221e-01
  1.65180430e-01  8.88726190e-02 -7.05780322e-03 -6.15133159e-02
  1.37739688e-01 -1.88682243e-01  8.95578042e-02  1.02964811e-01
  7.30674788e-02  8.08044672e-02  1.21119007e-01 -1.28899977e-01
  7.75903761e-02  6.77077472e-02 -1.72005817e-01  8.28205869e-02
  3.50026079e-02 -7.90181309e-02 -4.12010364e-02  2.14863755e-02
  2.67558694e-01  1.12359010e-01 -1.22407794e-01 -1.50358364e-01
  5.81336133e-02 -1.46766633e-01 -2.42842548e-02  3.25995088e-02
 -1.26487628e-01 -1.50483042e-01 -2.78233469e-01  6.80648088e-02
  4.07443076e-01  1.38327733e-01 -2.42456451e-01  3.47763374e-02
 -6.60740435e-02 -8.62098932e-02  1.63177863e-01  1.05290420e-01
 -6.10029064e-02 -6.47538453e-02 -1.25586957e-01  4.99972422e-03
  1.60042018e-01  4.43916135e-02 -5.90915941e-02  1.64606124e-01
 -2.84620952e-02  8.00341368e-02 -5.21532056e-05  7.04702782e-03
 -1.60336837e-01 -1.40148569e-02 -1.00271612e-01 -9.41634476e-02
  9.31884423e-02  3.49902362e-02 -2.42202193e-03  9.60669145e-02
 -1.65879041e-01  1.42993435e-01 -4.43759933e-03  7.53594097e-03
  5.92899434e-02  8.75764564e-02 -1.57070696e-01 -7.75390193e-02
  1.29293442e-01 -2.57723719e-01  2.01542526e-01  1.69633210e-01
  3.36156040e-02  1.21972427e-01  5.68135716e-02  7.19678849e-02
 -1.63579104e-03  8.09445456e-02 -1.50011510e-01 -1.04149925e-02
 -2.69696553e-04  2.04201192e-02  6.19272180e-02 -1.96269946e-03]"
oddTech_11,"[-0.14918743  0.12800212  0.05077359 -0.05778742 -0.03335522 -0.10862202
 -0.06355934 -0.09650026  0.165535   -0.06941455  0.25077593 -0.02107391
 -0.19525264 -0.01339003 -0.01274017  0.10905645 -0.17048129 -0.18768102
 -0.06230026 -0.06973236  0.01569087  0.03669607  0.0180582   0.04645015
 -0.1490099  -0.33762515 -0.13421519 -0.13552342  0.0690878  -0.04580151
  0.0068002   0.05939154 -0.17960209 -0.09882499  0.07944463  0.04814167
  0.02998869 -0.01167415  0.20437135  0.03059459 -0.1077589   0.00391846
  0.08886218  0.32065853  0.09912821  0.09177152  0.07496842 -0.08149157
  0.0773669  -0.2164031   0.13969254  0.12449581  0.13034962  0.09197427
  0.11591453 -0.12064809  0.07319447  0.13507116 -0.22810367  0.18180206
  0.14189075 -0.01032762 -0.0402689  -0.01670148  0.31162786  0.10593007
 -0.1452338  -0.11778944  0.10273593 -0.11233032 -0.10292792  0.08537675
 -0.09877509 -0.14294106 -0.28023115  0.07019533  0.41021982  0.15274775
 -0.18664926  0.06507545 -0.06259846 -0.06740075  0.05818472  0.05133357
 -0.14635608  0.01136769 -0.12185196  0.00817415  0.23905756  0.09755503
 -0.07089879  0.21809149 -0.02089912  0.04406008  0.03875504  0.07587993
 -0.14191227 -0.12116975 -0.11741567 -0.09369861  0.04288045  0.0081001
 -0.08803765  0.12190561 -0.14008503  0.12940355 -0.06000619 -0.01474225
 -0.07539246  0.07188877 -0.06487179 -0.0548468   0.08975322 -0.23391445
  0.16385479  0.12320277  0.05772423  0.10016143  0.07022627 -0.00791211
  0.00392065  0.00298047 -0.13617663 -0.12324437  0.083677   -0.03378131
  0.12551013  0.03686843]"
oddTech_12,"[-1.79173335e-01  5.84402457e-02  1.55432224e-02 -5.57637773e-02
  1.56674851e-02 -4.65903208e-02 -3.36699449e-02  1.23417946e-02
  1.97290286e-01 -2.30584070e-02  1.30634382e-01 -1.17460983e-02
 -1.86555922e-01 -2.75542531e-02 -5.50832562e-02  2.30311155e-02
 -1.29073218e-01 -1.10814281e-01 -1.34574305e-02 -4.51936759e-02
  4.16440666e-02  1.10217594e-02  2.40751430e-02  5.65840937e-02
 -1.23959199e-01 -3.31507683e-01 -1.03653818e-01 -1.52788952e-01
  5.37034459e-02 -1.41607836e-01  3.41045447e-02 -3.62203605e-02
 -2.33098447e-01 -7.72356316e-02 -1.06655210e-02  8.83336812e-02
  2.01180503e-02  1.12040378e-02  2.03066662e-01  1.91573147e-02
 -1.36805862e-01 -5.06622456e-02  3.92595772e-03  2.97429949e-01
  1.09395944e-01  1.24091730e-01 -4.96549308e-02 -1.69699695e-02
  9.53148454e-02 -2.55418420e-01  1.46639913e-01  1.19762331e-01
  1.02404594e-01  6.58826157e-03  7.40968809e-02 -9.59699899e-02
  4.85196821e-02  7.48391151e-02 -2.66801685e-01  1.21582821e-01
  4.83184010e-02 -1.97253413e-02 -3.08722518e-02  3.62138487e-02
  2.26735264e-01  1.01677217e-01 -1.09766454e-01 -1.15841366e-01
  1.22856528e-01 -2.06069499e-01  5.90538196e-02  1.11066848e-01
  4.44254605e-03 -2.05118015e-01 -2.29183748e-01  1.33192286e-01
  3.98345709e-01  1.79076001e-01 -1.00669667e-01  9.18899700e-02
 -1.04457155e-01 -7.88724422e-02  6.63077459e-02  4.63739857e-02
 -1.45635113e-01  8.92891288e-02 -8.75763893e-02  4.35193852e-02
  1.40577793e-01  7.40971267e-02 -6.41124770e-02  1.79524377e-01
 -4.69050780e-02  5.82052842e-02  3.81770693e-02  3.02296933e-02
 -1.23959251e-01 -2.49874946e-02 -8.95030797e-02 -2.05374658e-02
  1.10441357e-01 -1.14658922e-02  6.77413819e-03  1.08534493e-01
 -1.39581621e-01  8.57244954e-02 -3.91376168e-02 -8.97395909e-02
 -2.05203542e-03  6.70150146e-02 -1.27777264e-01 -1.17686868e-01
  1.13750972e-01 -2.85808206e-01  1.53934911e-01  1.10492200e-01
 -5.85162081e-04  1.49646550e-01  8.53133649e-02  3.33840661e-02
  7.31986389e-02  1.14292782e-02 -1.31888136e-01 -5.08872792e-02
  6.81902990e-02 -9.53871384e-03  1.12593859e-01 -1.48445557e-04]"
oddTech_13,"[-1.65373057e-01  6.49826080e-02  8.27784166e-02 -5.82664087e-02
 -7.07528368e-02 -1.02771431e-01 -3.31653245e-02  1.07272547e-02
  1.81137487e-01 -7.45927095e-02  1.72238410e-01  2.60927267e-02
 -1.46717593e-01 -5.04858084e-02 -6.04379410e-03  8.66233110e-02
 -9.27346721e-02 -8.59736502e-02 -7.94586465e-02 -1.09352931e-01
  3.44483741e-02  6.42911717e-02  2.99073309e-02  7.22387955e-02
 -1.36877730e-01 -3.27003360e-01 -8.37877095e-02 -1.22489497e-01
 -8.35101604e-02 -1.09311819e-01  6.65462092e-02  5.42724356e-02
 -2.18721792e-01 -1.04397953e-01  1.74546875e-02  9.64261964e-02
 -5.23272855e-03  2.69751493e-02  1.35459825e-01 -1.55245205e-02
 -9.96975228e-02 -2.19447855e-02  5.34915850e-02  3.17706257e-01
  1.13063887e-01  7.94772655e-02 -3.29983933e-03  8.39771982e-03
  1.32570013e-01 -2.20652640e-01  8.18263069e-02  1.01355381e-01
  4.62567359e-02  9.90179460e-03  1.28802940e-01 -2.06520967e-02
  8.51309672e-02  1.10553481e-01 -2.27389380e-01  6.48352429e-02
  5.84484190e-02 -5.30372225e-02 -7.74348304e-02 -7.96434470e-03
  2.43033290e-01  1.23890914e-01 -7.26563856e-02 -1.27043381e-01
  8.15156624e-02 -1.63422525e-01 -3.31031345e-02  5.80593906e-02
 -9.09117237e-02 -1.54325590e-01 -2.31944531e-01  6.86083063e-02
  3.82653773e-01  1.35230049e-01 -1.35161892e-01  1.04306810e-01
 -9.49857906e-02 -2.63475142e-02  7.52953961e-02 -3.27926246e-03
 -8.09930563e-02  7.61596113e-02 -9.57445577e-02  9.70501974e-02
  1.82947978e-01  3.79159190e-02 -4.65937443e-02  2.00926274e-01
  4.53319820e-03 -1.98717117e-02  5.18527031e-02 -6.12711571e-02
 -1.04349285e-01 -1.96412019e-02 -1.53362378e-01 -2.19903085e-02
  8.92145038e-02 -8.69680848e-03 -2.15869304e-02  2.90370155e-02
 -1.69852108e-01  1.05032280e-01 -2.39761714e-02 -2.13707611e-02
 -4.22374383e-02  6.06646761e-02 -1.92686498e-01 -7.96640739e-02
  1.05836578e-01 -2.07653925e-01  1.84584141e-01  8.17065984e-02
 -1.69920791e-02  1.41626492e-01  6.34941086e-02  2.42003743e-02
  1.12178288e-02  7.82142859e-04 -8.02739486e-02 -6.99854195e-02
  1.21327750e-01  6.86371233e-03  1.42824501e-01  2.00929600e-04]"
oddTech_14,"[-0.10526215  0.05120834  0.02238831 -0.05232323  0.00850981  0.02541893
 -0.03512218 -0.03551197  0.21397254 -0.09743261  0.15726505  0.02856047
 -0.17041887 -0.04874695 -0.02392065  0.05698041 -0.12875232 -0.13553889
 -0.03073041 -0.08320529 -0.01485864  0.01266154  0.0275402   0.07558416
 -0.08453734 -0.38225752 -0.07864539 -0.18126215  0.08060423 -0.12234551
 -0.02524789  0.02812841 -0.20278415 -0.02781879 -0.03251098  0.09508307
  0.04626642  0.03270023  0.23724967  0.06214154 -0.11654551 -0.03623999
  0.06058633  0.27967235  0.14486267  0.09119201  0.01595913 -0.00268567
  0.15217337 -0.20374386  0.12089195  0.10394796  0.14284134  0.08798521
  0.072262   -0.2004441   0.00976618 -0.00967382 -0.17799059  0.18807432
  0.00285516  0.00909556 -0.04466377  0.08861964  0.29608169  0.11185192
 -0.08822688 -0.17369121  0.15691349 -0.18989694  0.00182255  0.12284405
 -0.08810205 -0.12564427 -0.18084569  0.0937008   0.38925424  0.11198811
 -0.14958021  0.05081514 -0.15216094 -0.11495599  0.06623611  0.04439589
 -0.0919966   0.04902769 -0.08508165  0.01916701  0.22770122  0.06943202
 -0.07713352  0.18719083 -0.0415507   0.09778377  0.01956552  0.07242421
 -0.12631521  0.01866938 -0.13663407 -0.06600229  0.08822366 -0.04934974
 -0.00535673  0.06658953 -0.21278149  0.12621862 -0.02263653 -0.01774037
  0.02210173  0.14314233 -0.18464504 -0.0657004   0.1776329  -0.27540773
  0.24600093  0.14433448  0.03997717  0.1245047   0.08797938  0.06400616
  0.07460749 -0.01857918 -0.12144297 -0.07487422  0.02041456 -0.01353704
  0.04023024  0.04733297]"
oddTech_15,"[-0.13544106  0.10391548  0.10993666 -0.02347393 -0.04430258 -0.02045085
 -0.09406071 -0.04271067  0.10972074 -0.10702107  0.22290114 -0.0732915
 -0.17598113 -0.03036399 -0.03715712  0.10595112 -0.10882599 -0.13014764
 -0.04563804 -0.04955393  0.06683866  0.023907   -0.02604995 -0.01630001
 -0.20273826 -0.3752459  -0.07745235 -0.05261841  0.0082278  -0.07898607
 -0.04165675  0.09583647 -0.16122858  0.00311334  0.02295555  0.10498803
  0.0145007   0.00726525  0.18222648 -0.03166705 -0.19663022  0.01635549
  0.06907716  0.28293371  0.16305444  0.05255409  0.03711464 -0.06691223
  0.04381755 -0.18986933  0.04522215  0.16526651  0.05954868  0.09077949
  0.03615068 -0.07528681  0.03758338  0.04073292 -0.12496115  0.0424085
  0.07923453 -0.1296557  -0.03297766 -0.01081729  0.23034166  0.05050925
 -0.12176485 -0.14803916  0.08529565 -0.14983477 -0.06640437  0.07301271
 -0.10227737 -0.16500244 -0.31992465  0.07335424  0.43333301  0.14790712
 -0.20632823  0.1161351  -0.03237605 -0.05985112  0.15520184  0.14029798
 -0.07614026  0.03967265 -0.09543957  0.0857278   0.25531951 -0.00423506
 -0.06352811  0.13822649  0.02536188  0.07351454  0.02711923  0.06480326
 -0.08082832 -0.02975154 -0.10381871 -0.00916493  0.09065024  0.01328678
 -0.0334378   0.14661019 -0.14113644  0.18185638 -0.00523585 -0.02044045
  0.0110732   0.06155745 -0.0575279  -0.0701087   0.08318745 -0.2437861
  0.10814015  0.15814014  0.0486487   0.13956311  0.14063673  0.05274756
  0.03773153  0.04004015 -0.15168901 -0.08392679  0.05890355  0.00938436
  0.12188838  0.02052936]"
oddTech_16,"[-0.14112437  0.09975311  0.00627188  0.00984706 -0.0524717  -0.04588221
 -0.04758491 -0.10860679  0.18583407 -0.05802971  0.20910113  0.02059845
 -0.16151556 -0.14015582 -0.01000649  0.10246224 -0.06436812 -0.21442913
  0.01402168 -0.07472572  0.00341988 -0.03998678 -0.01718575  0.09140573
 -0.11310634 -0.34450457 -0.09055945 -0.16652511  0.01926679 -0.07793573
 -0.01173814  0.06659265 -0.17938437 -0.0468763   0.006485    0.14895813
  0.02416453  0.07535241  0.21057397  0.00098332 -0.1215764  -0.0846778
  0.0166191   0.33609816  0.15290664  0.06480656  0.01947763  0.03963398
  0.12125022 -0.22496374  0.14225219  0.12438374  0.18264978  0.02339309
  0.12386256 -0.10836773  0.01038837  0.05663834 -0.22138441  0.09682763
  0.04404382 -0.07073833 -0.10340967 -0.03126005  0.34216475  0.15047972
 -0.09618472 -0.11308835  0.19176264 -0.17251804 -0.05940379  0.05876406
 -0.07671244 -0.12312756 -0.29131916  0.10976092  0.37836736  0.13073036
 -0.22203273  0.05871229 -0.05678919 -0.02709878  0.05977021 -0.0248767
 -0.0905745   0.02599479 -0.18115392 -0.0508225   0.18172434  0.03545883
 -0.0233462   0.15218513 -0.06143381  0.03156413  0.05524984  0.05821732
 -0.08517811 -0.02811197 -0.12219168 -0.0618682   0.09526443 -0.05420287
 -0.01475844  0.08151383 -0.17403378  0.09394285 -0.04942602  0.01602465
 -0.02936926  0.06991997 -0.17413218 -0.0936946   0.15447687 -0.24918392
  0.2061069   0.05989667 -0.04816413  0.12398333  0.04890241  0.07887634
 -0.02924077 -0.06353672 -0.12310878 -0.11457425  0.05379206 -0.0498112
  0.03844988  0.06740493]"
oddTech_17,"[-1.26687631e-01  7.87181780e-02  6.15306236e-02 -7.87267685e-02
 -4.04166132e-02 -7.20975399e-02  1.27291167e-02 -3.05082295e-02
  1.70421749e-01 -4.46855910e-02  1.53591290e-01 -2.75238249e-02
 -1.78698406e-01 -8.68185684e-02 -9.38971643e-04  7.69893080e-02
 -1.61088288e-01 -1.30494073e-01 -4.44547795e-02 -1.27549112e-01
  3.50189097e-02 -1.47466147e-02  5.90058900e-02  8.54299217e-02
 -1.59184173e-01 -3.50576967e-01 -9.15440544e-02 -1.24524221e-01
  3.37287188e-02 -1.29974067e-01  8.66983924e-03  1.20569598e-02
 -1.62748367e-01 -7.58263841e-02 -1.90749206e-02  1.41580194e-01
 -2.56874301e-02 -8.41476023e-02  1.65015236e-01 -3.28375585e-02
 -9.45777968e-02 -4.51581813e-02  3.08636371e-02  2.93909460e-01
  1.59731954e-01  8.92145485e-02 -2.31084821e-04 -2.02808366e-03
  6.29259199e-02 -2.41083801e-01  7.96783641e-02  1.07351728e-01
  2.17533372e-02 -1.11080976e-02  1.29866421e-01 -7.67472312e-02
  4.36807200e-02  8.95206407e-02 -2.22704381e-01  4.94894348e-02
 -1.60266291e-02 -4.67712916e-02 -9.62856133e-03 -3.13625671e-02
  2.35036865e-01  1.42298311e-01 -8.22805762e-02 -5.65399490e-02
  1.36150569e-01 -2.20263436e-01 -3.13444026e-02  2.37514935e-02
 -4.23809551e-02 -1.49084941e-01 -2.56333530e-01  2.95406021e-02
  4.15618747e-01  1.93088025e-01 -1.48667365e-01  3.49227227e-02
 -6.14254586e-02 -5.72813340e-02  1.21902928e-01  6.52546138e-02
 -1.56317934e-01  5.94581254e-02 -1.62222147e-01  6.26049265e-02
  1.52712673e-01  4.99065779e-02 -7.17910677e-02  1.79472134e-01
  5.76999551e-03  4.31115329e-02  7.07294866e-02 -1.87416635e-02
 -1.37956858e-01  9.48566291e-03 -1.41501963e-01 -4.66037355e-02
  1.26417086e-01 -4.14734036e-02 -1.35945100e-02  1.34178475e-01
 -1.33755177e-01  6.24846444e-02 -9.66554601e-03 -8.21113214e-02
 -2.13469882e-02  5.35502583e-02 -1.37834489e-01 -1.04827300e-01
  1.40486106e-01 -2.20960915e-01  7.46256560e-02  2.01636121e-01
 -2.68849935e-02  1.47422075e-01  7.12935925e-02  3.56917121e-02
  2.13195924e-02 -2.18787733e-02 -1.21111885e-01 -1.36941392e-02
  3.39177065e-02 -1.58914663e-02  1.21691599e-01  3.17037925e-02]"
oddTech_18,"[-0.09472101  0.13740645  0.01911914 -0.01973739 -0.05972418  0.01998043
 -0.01369196  0.02881751  0.20510703 -0.01380424  0.15747342  0.01411997
 -0.23558857 -0.002759    0.00591308  0.08321542 -0.1305102  -0.15151441
 -0.04694209 -0.10813255  0.06188929  0.02943922 -0.03899992  0.05275378
 -0.21467489 -0.29033825 -0.06455362 -0.19948108  0.00591819 -0.23765187
  0.03166575 -0.04058062 -0.21412258 -0.07390676  0.00634898  0.06085105
  0.01262629 -0.04172517  0.14804919  0.03135713 -0.11300211  0.02007105
  0.03794811  0.32774156  0.1360264   0.01714999  0.00384379  0.02568362
  0.06378814 -0.20542827  0.14249018  0.09083595  0.09138533  0.07315212
  0.03360496 -0.15587854 -0.04896181  0.07940095 -0.23381473  0.135939
  0.11915269  0.01952381 -0.13257648  0.00765176  0.19894569  0.10559178
 -0.14670771 -0.15105094  0.10428672 -0.16478235  0.03501833  0.07379472
 -0.12221822 -0.14136349 -0.17910065  0.14769301  0.42376983  0.04893144
 -0.13610512 -0.00687245 -0.10739947 -0.01309054 -0.02488227 -0.00284708
 -0.0417588   0.01781718 -0.04465155  0.15313774  0.16743799  0.04735729
 -0.04916241  0.15583026 -0.05283744 -0.05707232  0.02048545  0.07034283
 -0.09387583 -0.03715435 -0.07327104 -0.00679817  0.03443008 -0.11098962
 -0.0619599   0.1061054  -0.15753083  0.10816407  0.03517738 -0.0417418
 -0.02086114  0.11900698 -0.20538738 -0.08936588  0.19739236 -0.26171967
  0.20644775  0.15353185  0.01889746  0.06516102  0.00407011  0.05245356
  0.06187321  0.02239039 -0.17001563 -0.06122545  0.00468568 -0.0081967
  0.02703241 -0.00462626]"
